Randomly Generated Puzzle
log = ../logs/repair_random_log.txt
solution = ../logs/repair_solution.txt
seed = 16747340304863
wallOnOff = 1
forced_validity = 1
defaultRow = 12
defaultCol = 10
maxRows = 18
maxCols = 18
experiments = 30
evaluations = 10000
exit_on_converge = 1
number_converge_evals = 25
population_size = 100
number_of_children = 200
tournament_size_parent = 5
tournament_size_survival = 10
parent_selection_type = 4
survival_selection_type = 4
penalty_coefficient = 0.1
fitness_type = 3
survival_strategy = 2
mutation_rate = 0.1

Result Log


Run 1
100	0.32689999999999986	0.62
300	0.49560000000000026	0.69
500	0.5929999999999996	0.72
700	0.6771999999999995	0.81
900	0.7107999999999997	0.81
1100	0.7566000000000002	0.81
1300	0.8003000000000006	0.89
1500	0.8186000000000007	0.92
1700	0.8307000000000003	0.94
1900	0.8072000000000001	0.95
2100	0.8170000000000003	0.95
2300	0.8383000000000006	0.95
2500	0.8160000000000006	0.95
2700	0.8683000000000003	0.95
2900	0.8870000000000006	0.96
3100	0.8516000000000008	0.95
3300	0.8908000000000008	0.96
3500	0.8834000000000006	0.98
3700	0.8845000000000003	0.98
3900	0.9184999999999992	0.98
4100	0.9236999999999993	0.98
4300	0.9198999999999999	0.98
4500	0.9026999999999997	0.99
4700	0.9074000000000001	0.99
4900	0.8676999999999998	0.99
5100	0.8562999999999996	0.99
5300	0.8720999999999998	0.99
5500	0.8738000000000002	0.99
5700	0.9062000000000006	0.99
5900	0.8898999999999999	0.99
6100	0.9183000000000001	0.99
6300	0.8998999999999998	0.99
6500	0.8837999999999999	0.99
6700	0.9186999999999997	0.99
6900	0.8337000000000007	0.99
7100	0.9153999999999995	0.99
7300	0.9157000000000002	0.99
7500	0.8826000000000007	0.99
7700	0.8487999999999998	0.99
7900	0.9038999999999997	0.99
8100	0.8932999999999999	0.99
8300	0.8749000000000006	0.99
8500	0.8012000000000004	0.99
8700	0.9059999999999998	0.99
8900	0.8983	0.99
9100	0.9050000000000005	0.99
9300	0.8577000000000004	0.99
9500	0.8852000000000005	0.99

Run 2
